1552453697695|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453699265|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453699276|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453746446|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453746456|9|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453747979|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453747988|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453825162|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453825172|9|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453826775|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453826784|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453886053|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453886062|9|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453887551|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453887559|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552453935958|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552453935970|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552453937519|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552453937528|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552454060469|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552454060481|11|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552454063053|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552454063062|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552454099580|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552454099591|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552454099596|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552454101223|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552454101241|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552454127367|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552454127378|10|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552454127383|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552454128930|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552454128945|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
1552454410241|2|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table coffee if exists |drop table coffee if exists 
1552454410251|9|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )|create table coffee( id bigint auto_increment, name varchar(64) not null, price bigint not null, create_time timestamp , update_time timestamp , primary key(id) )
1552454410256|4|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())|insert into coffee(name,price,create_time,update_time) values ('latte',20,now(),now())
1552454411794|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_|select coffee0_.id as id1_0_, coffee0_.create_time as create_t2_0_, coffee0_.update_time as update_t3_0_, coffee0_.name as name4_0_, coffee0_.price as price5_0_ from coffee coffee0_
1552454411811|0|commit|connection 0|url jdbc:p6spy:h2:mem:testdb||
